TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
THROUGHPUT:,,,,,,,,,
1,2.24E+06,3.91E+06,7.77E+06,8.79E+06,,,,,
2,2.24E+06,3.92E+06,7.76E+06,8.85E+06,,,,,
3,2.25E+06,3.95E+06,7.75E+06,8.84E+06,,,,,
4,2.10E+06,3.56E+06,6.80E+06,8.63E+06,,,,,
5,2.24E+06,3.90E+06,7.76E+06,8.61E+06,,,,,
PADDING WITH BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
